Sp,ctmin,mid.ele,bio1,clade
antonii,13.36,1557.52,18.05,Draconura
calimae,13.59,2159.75,16.32,Dactyloa
chloris,12.98,1370.25,18.38,Dactyloa
chocorum,18.97,581.5,23.76,Dactyloa
granuliceps,15.5,612.5,23.76,Draconura
heterodermus,7.44,2182,17.1,Dactyloa
maculigula,13.1,1409.48,18.38,Dactyloa
maculiventris,17.98,564.31,23.76,Draconura
notopholis,14.43,238.5,23.76,Draconura
princeps,13.1,771.5,22.42,Dactyloa
ventrimaculatus,11.93,1998.26,18.78,Dactyloa
