Sp,ctmax,mid.ele,bio1,clade
antonii,27.63,1557.52,18.05,Draconura
calimae,26.36,2159.75,16.32,Dactyloa
chloris,31.82,1370.25,18.38,Dactyloa
chocorum,31.97,581.5,23.76,Dactyloa
danieli,30.1,2052.25,18.38,Dactyloa
heterodermus,30.36,2182,17.1,Dactyloa
maculigula,29.58,1409.48,18.38,Dactyloa
maculiventris,31.86,564.31,23.76,Draconura
notopholis,32.41,238.5,23.76,Draconura
princeps,32.31,771.5,22.42,Dactyloa
ventrimaculatus,27.58,1998.26,18.78,Dactyloa
